"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Equus caballus","Glaucomys sabrinus","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Marmota monax","Martes americana","Martes pennanti","Mephitis mephitis","Mustela","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Puma concolor","Sciuridae","Tamiasciurus hudsonicus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"BH-8",332,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0
"BH-80",327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,4,0,0,1
"BH-85",325,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0
"BH-86",335,0,5,0,0,0,0,0,0,52,6,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0
"BH-87",328,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,2,27,13,0,0,0,1,11,0,0
"BH-88",325,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,2,0
"BH-89",328,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,3,4
"BH-9",264,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
"BH-90",326,14,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,6,0,0,0,3,0,1,5
"BH-91",328,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1
"BH-92",327,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,2,0,1,1
"BH-93",327,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,1
"BH-95",327,0,2,2,1,1,0,0,0,0,0,0,1,2,0,0,1,0,21,0,0,0,0,0,9,0
