Site,Date,NDVI,NDVI_mean,usrt_strv_mean,Alltrail_nb_revw,HFI,HFIperc,Density_trail,PLUZ_NAME,TYPE,vegclass,UTM,UTM_mE,UTM_mN,Latitude,Longitude,Elevation,buffer_area,forest_perc,distance_water,distance_trail,distance_trail_m,Use_Type,season
91,2021-06-01,0.66156,0.499272156862745,0,0,93717.396752757,11.9324720400048,0,NA,No type,Rock/Rubble,11U,571376,5777622,52.1445,-115.957,1816,785039.343644246,82.1816812954558,547.577523048607,3616.28743061412,3616.28743061412,No_trail_inbuf,summer
91,2021-07-01,0.62578,0.499272156862745,0,0,93717.396752757,11.9324720400048,0,NA,No type,Rock/Rubble,11U,571376,5777622,52.1445,-115.957,1816,785039.343644246,82.1816812954558,547.577523048607,3616.28743061412,3616.28743061412,No_trail_inbuf,summer
91,2021-08-01,0.72234,0.499272156862745,0,0,93717.396752757,11.9324720400048,0,NA,No type,Rock/Rubble,11U,571376,5777622,52.1445,-115.957,1816,785039.343644246,82.1816812954558,547.577523048607,3616.28743061412,3616.28743061412,No_trail_inbuf,summer
191,2019-08-01,0.590408333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2019-09-01,0.5934,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2019-10-01,0.293,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2019-11-01,0.133866666666667,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-05-01,0.374775,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-06-01,0.525833333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-07-01,0.65835,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-08-01,0.630733333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-09-01,0.522283333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-10-01,0.338525,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2020-11-01,0.211491666666667,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2021-05-01,0.495933333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2021-06-01,0.529583333333333,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2021-07-01,0.632066666666667,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
191,2021-08-01,0.617491666666667,0.347188235294118,0,0,48662.52750053,6.19590672506551,0.00130193853890206,NA,PLREC,Developed,11U,568686,5770447,52.0803,-115.998,1729,785039.343644381,40.4398420164235,70.0589318847887,42.5733118874872,42.5733118874872,Mixed-Use,summer
92,2019-08-01,0.706066666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2019-09-01,0.67595,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
